*  ymin  ymax pTmin pTmax   yav  pTav         cs   stat  uncor   fitm   fitr   nrbk   cobk   bins   trig   trac   vtxq   muid   hdid   angd   brat   lumi   ffrc
* 1st y bin *
    3.0   3.5   4.0   5.0  2.25  4.50    0.64000   6.25   7.26   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   5.0   6.0  2.25  5.50    0.45000   6.67   5.72   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   6.0   7.0  2.25  6.50    0.39000   7.69   4.40   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   7.0   8.0  2.25  7.50    0.27000   7.41   8.63   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   8.0   9.0  2.25  8.50    0.21000   9.52   7.69   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5   9.0  10.0  2.25  9.50    0.16000   6.25   3.35   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5  10.0  11.0  2.25 10.50    0.09000  11.11   0.00   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5  11.0  13.0  2.25 12.00    0.04900  10.20   7.69   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5  13.0  15.0  2.25 14.00    0.02400  12.50   3.35   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5  15.0  19.0  2.25 17.00    0.01300  15.38   9.57   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.0   3.5  19.0  40.0  2.25 29.75    0.00110  18.18  13.62   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
* 4th y bin *
    3.5   4.0   0.0   1.0  2.25  0.50    0.18000  22.22  18.68   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.5   4.0   1.0   2.0  2.25  1.50    0.55000  10.91  18.19   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
    3.5   4.0   2.0   3.0  2.25  2.50    0.62000   8.06  19.10   1.20   0.40   1.90   0.30   0.10   2.60   4.40   0.20   0.80   0.80   0.10  10.00   3.50  10.00
